codigo,nome,precovenda,preco1,preco2,preco3,precocusto,customedio,estoque,estminimo,unidade,marca,familia,grupo,subgrupo,ncm,gtin,inativo
2890001150013,"PNEU P/CARRO DE MAO 3,50X8 BALAO",54,54,53,53,33.46,23.28,-1,0,UN,,,,,40092210,2890001150013,N
2890001170011,CABO P/PICARETA,21.5,21.5,21,20,11.69,17.16,8,0,UN,,,,,44170090,2890001170011,N
2890001180010,CARBURETO,29.9,29.9,29.9,29.9,20.64,20.64,-4,0,KG,,,,,28491000,2890001180010,N
2890001250010,CADEADO STAM 20MM,16.9,16.9,16.5,16.5,10.62,11.8,33,0,UN,,,,,83011000,2890001250010,N
2890001290016,CADEADO STAM 40MM,41,41,40,40,24.66,32.5,38,0,UN,,,,,83011000,2890001290016,N
2890001300012,CADEADO STAM 45MM,45,45,44,44,27.99,24.88,9,0,UN,,,,,83011000,2890001300012,N
2890001350017,KIT ROMA P/PINTURA 5PCS,25.9,25.9,25,25,14.59,19.86,12,0,UN,,,,,96034010,2890001350017,N
2890001360016,CAIXA FORTLEV 310LTS,278,278,268,268,210,153.72,-4,0,UN,,,,,39251000,2890001360016,N
2890001380014,CAIXA FORTLEV 1000LTS,489,489,469,469,350,0,-31,0,UN,,,,,39251000,2890001380014,N
2890001420017,CAIXA DE GORDURA ASTRA 25X20,36,36,0,0,23.6,0,0,0,UN,,,,,85183000,2890001420017,N
2890001440015,CAIXA EMBASA C/TAMPA ACRILICA,44,44,42,40,23.8,0,-7,0,UN,,,,,39259090,2890001440015,N
2890001460013,POS OBRA MARIDAO,20,20,20,9,8.3,0,-27,0,UN,,,,,28061020,2890001460013,N
2890001490010,CAIXA LUZ TRAMONTINA 4X2 AMARELA,1.6,1.6,1.6,1.5,0.9,0,-224,20,UN,,,,,39174090,2890001490010,N
2890001530013,CAIXA LUZ TRAMONTINA 4X4,5,5,4.8,4.5,2.68,0,-11,0,UN,,,,,39259090,2890001530013,N
2890001580018,PORTEIRO ELETRONICO HDL,200,200,0,0,100,0,0,0,UN,,,,,85183000,2890001580018,N
2890001590017,CAL 5KG,13.5,13.5,13,13,4.5,0,-33,0,UN,,,,,85183000,2890001590017,N
2890001600013,CAL 10KG,22.5,22.5,22,22,8,0,-9,0,UN,,,,,85183000,2890001600013,N
2890001620011,CALHA AMANCO PERFIL C/3M,179.9,179.9,170,170,120,0,-20,0,UN,,DIVERSOS,CONEXOES,CALHA,39259090,2890001620011,N
2890001640019,CALHA AMANCO (BOCAL P/SAIDA),59.9,59.9,59,58,35.48,0,-9,0,UN,,DIVERSOS,CONEXOES,CALHA,39174090,2890001640019,N
2890001650018,TABUA PINHO 0.20CM C/3M,26,26,0,0,7.44,0,-69,0,UN,,,,,44191100,2890001650018,N
2890001670016,CALHA AMANCO (EMENDA),49.99,49.99,49.99,47,21.45,0,-9,0,UN,,DIVERSOS,CONEXOES,CALHA,39174090,2890001670016,N
2890001700010,CALHA AMANCO (ABRACADEIRA),12,12,0,0,2.75,0,0,0,UN,,DIVERSOS,CONEXOES,CALHA,39174090,2890001700010,N
2890001720018,CALHA AMANCO (CABECEIRA) DIR,25.99,25.99,25.99,25.99,13.57,0,-8,0,UN,,DIVERSOS,CONEXOES,CALHA,39174090,2890001720018,N
2890001730017,LAMPADA 40W ELGIN,20,20,19,19,10.04,0,20,0,UN,,DIVERSOS,DIVERSOS,DIVERSOS,85395200,2890001730017,N
2890001740016,"CAMARA P/CARRO LEVORIN 3,25X8",27,27,0,0,14.89,18.68,8,0,UN,,,,,40139000,2890001740016,N
2890001750015,CAMPAINHA MUSICAL SOBR 127V,39.9,39.9,39.9,39.9,25,22.04,2,0,UN,,,,,85318000,2890001750015,N
2890001760014,FITA CREPE 48X50M,15.5,15.5,15,15,9,6.92,13,6,UN,,,,,48114110,2890001760014,N
2890001770013,CANTONEIRA SIMPLES CINZA 8X10 (25CM),5.6,5.6,0,0,3.16,76.06,0,0,UN,,,,,85183000,2890001770013,N
2890001790011,INCENOR 70540,29.99,29.99,0,0,0,0,0,0,M2,,,,,69072200,2890001790011,N
2890001800017,CANTONEIRA SIMPLES CINZA 6X8,4.2,4.2,0,0,2.32,55.84,0,0,UN,,,,,85183000,2890001800017,N
2890001830014,CANTONEIRA BRANCA 40CM,12.9,12.9,12.5,12,6.24,7.51,23,0,UN,,,,,72162100,2890001830014,N
2890001850012,CANTONEIRA BRANCA 50CM,18,18,17.5,17.5,9.07,11.64,17,4,UN,,,,,72162100,2890001850012,N
2890001870010,CAP ESGOTO 40MM,3,3,3.5,4,1.63,0.42,3,12,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890001870010,N
2890001880019,CAP ESGOTO 50MM,5.8,5.8,5.5,5.5,1.72,0,-3,10,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890001880019,N
2890001900014,CAP SOLDAVEL 20MM,1.35,1.35,1.3,1.3,0.59,0,-45,20,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890001900014,N
2890001930011,CAP SOLDAVEL 40MM,7.3,7.3,7,7,3.49,2.89,10,6,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890001930011,N
